Type,Model,Fuel consumption,Price,Max speed
petrol,0.14,1.05,Mercedes Sprinter,30000,200,business
electric,0.16,1.30,Hundai Starex,10000,150,comfort
electric,0.17,1.25,Renault Trafic,17000,160,comfort
electric,0.2,1.27,Volkswagen E-GOLF,16000,210,comfort
electric,0.15,1.25,Mercedes V250E,20000,180,comfort
electric,0.17,1.25,Fiat500E,10000,150,economy
electric,0.2,1.30,TESLA MODEL S 75D,50000,200,business
electric,0.22,1.25,Tesla Model S P90DL,80000,200,business
electric,0.15,1.28,Nissan LEAF S,13000,160,economy
electric,0.16,1.25,Nissan LEAF SV,16000,165,comfort
electric,0.2,1.25,Gazelle Electro,15000,170,universal
